team,x_2d,y_2d,emb_dim_0,emb_dim_1,emb_dim_2,emb_dim_3,emb_dim_4,emb_dim_5,emb_dim_6,emb_dim_7
1610612737,1.1773533e-09,-2.5943846e-11,-8.205892e-14,-5.4040453e-11,8.9557295e-13,-1.6506706e-11,-4.1489217e-12,1.1958278e-09,-1.81474e-12,-1.721124e-11
1610612738,-2.9239944e-09,1.7174484e-11,1.469791e-13,8.9565154e-11,-1.4663278e-12,3.0037764e-11,6.2565252e-12,-2.902723e-09,3.1259231e-12,2.613526e-11
1610612739,1.1826963e-09,8.10578e-12,-4.2831705e-14,-2.3892747e-11,4.5034319e-13,-1.0696463e-11,-1.3267315e-12,1.2020956e-09,-7.460324e-13,-3.1768835e-12
1610612740,-3.2608793e-10,2.409595e-11,3.818131e-14,2.906098e-11,-3.838319e-13,5.8596886e-12,2.6995019e-12,-3.0565983e-10,1.0383439e-12,1.30285106e-11
1610612741,1.3983715e-09,9.250066e-12,-6.271253e-14,-2.7776814e-11,6.214023e-13,-1.45389e-11,-1.8925716e-12,1.4177093e-09,-1.6752926e-12,-4.447763e-12
1610612742,-2.894334e-09,3.7892393e-12,1.3415755e-13,7.622599e-11,-1.383502e-12,2.9906213e-11,5.094476e-12,-2.8734277e-09,3.591886e-12,2.0745633e-11
1610612743,-1.8898045e-09,-3.8789935e-12,7.921311e-14,4.3986943e-11,-8.326597e-13,1.8968258e-11,2.7665802e-12,-1.869501e-09,2.0489422e-12,1.0573365e-11
1610612744,-1.1957013e-09,2.0809701e-11,7.337311e-14,4.8427925e-11,-7.6687213e-13,1.564837e-11,3.8611835e-12,-1.1750044e-09,1.7177383e-12,1.6223156e-11
1610612745,-1.1492193e-09,-4.154967e-11,-1.1455799e-14,-7.845556e-12,8.193347e-14,2.5579582e-12,-1.1109074e-12,-1.1302472e-09,-9.0350585e-14,-9.898898e-12
1610612746,2.6604057e-09,2.0160373e-11,-8.607618e-14,-4.9618646e-11,8.6458347e-13,-2.2727435e-11,-3.227136e-12,2.679564e-09,-2.002598e-12,-1.05615655e-11
1610612747,9.5400625e-11,-2.5861757e-11,-3.4357296e-14,-2.6463633e-11,3.2561332e-13,-4.3301708e-12,-2.354852e-12,1.1431653e-10,-4.1596904e-13,-1.0716028e-11
1610612748,8.3050955e-10,-3.13711e-11,-8.401518e-14,-4.996671e-11,7.9491535e-13,-1.2343444e-11,-2.8953565e-12,8.489873e-10,-1.564468e-12,-1.832291e-11
1610612749,3.536324e-09,5.321998e-12,-1.6170242e-13,-8.30738e-11,1.6824888e-12,-4.0433545e-11,-5.6181557e-12,3.5547056e-09,-4.2030394e-12,-2.4022036e-11
1610612750,4.8961777e-09,2.1217013e-11,-1.8583152e-13,-1.04333424e-10,1.9195119e-12,-4.5224383e-11,-6.642188e-12,4.9144875e-09,-4.8879195e-12,-2.7235996e-11
1610612751,1.5469743e-09,-1.1729098e-11,-7.4297976e-14,-4.9762548e-11,8.901711e-13,-1.9365976e-11,-3.64218e-12,1.5656884e-09,-2.015741e-12,-1.52976e-11
1610612752,-6.0508054e-10,-6.574758e-12,7.897811e-15,1.0176641e-11,-8.2359494e-14,3.146544e-12,3.9402628e-13,-5.853651e-10,9.888512e-14,-5.509396e-13
1610612753,2.509004e-09,-9.777042e-12,-1.2909983e-13,-7.421363e-11,1.2551836e-12,-2.533652e-11,-4.53812e-12,2.5273958e-09,-2.8083493e-12,-1.8537902e-11
1610612754,-1.6394217e-10,-3.2613027e-11,-3.091393e-14,-2.5261947e-11,2.9230188e-13,-3.5406825e-12,-2.6951202e-12,-1.4510551e-10,-6.899775e-13,-1.2819799e-11
1610612755,1.7227573e-09,5.5297416e-12,-5.1864275e-14,-3.9987784e-11,7.2869575e-13,-1.5584664e-11,-2.260523e-12,1.7418783e-09,-1.4716651e-12,-8.06529e-12
1610612756,9.828852e-10,-7.19786e-12,-6.142426e-14,-3.2099264e-11,6.1535477e-13,-1.1510982e-11,-2.2875014e-12,1.0019494e-09,-1.5283569e-12,-8.792221e-12
1610612757,-3.49645e-09,2.3578941e-11,2.0719e-13,1.0953397e-10,-2.0853818e-12,3.752794e-11,7.393643e-12,-3.4747745e-09,4.971104e-12,3.2833798e-11
1610612758,4.16221e-10,-1.0308052e-11,-2.7191257e-14,-1.970598e-11,3.2050025e-13,-7.529469e-12,-1.60414e-12,4.3542486e-10,-9.952057e-13,-7.5369155e-12
1610612759,-5.5718624e-10,-2.9198845e-11,-1.2334627e-14,-1.2697755e-11,2.8807692e-14,1.332788e-12,-1.4842182e-12,-5.381029e-10,-1.321121e-13,-8.007836e-12
1610612760,-4.2726938e-09,-3.613459e-11,1.3645011e-13,7.5335266e-11,-1.4834173e-12,3.55867e-11,4.4450632e-12,-4.2523407e-09,3.3472138e-12,1.4716088e-11
1610612761,2.8958849e-09,9.561251e-12,-1.1634721e-13,-6.515892e-11,1.1937084e-12,-2.6509277e-11,-4.200715e-12,2.914662e-09,-2.8698623e-12,-1.6411223e-11
1610612762,-2.457539e-09,2.712879e-11,1.4793128e-13,8.6242194e-11,-1.5506855e-12,3.2404704e-11,6.2292016e-12,-2.4361473e-09,3.7112184e-12,2.5478161e-11
1610612763,-2.5412035e-09,4.668933e-11,1.8443057e-13,1.05379545e-10,-1.7653514e-12,3.389445e-11,8.429073e-12,-2.5192695e-09,4.2977835e-12,3.61094e-11
1610612764,8.0769924e-10,1.9448568e-11,7.980359e-15,-6.431947e-12,1.3255293e-14,2.6263995e-13,1.5833233e-13,8.2757096e-10,3.150851e-13,6.4049495e-12
1610612765,-1.356808e-10,4.706738e-12,8.129047e-15,6.383157e-12,-1.2851782e-13,2.6323989e-12,6.1256414e-13,-1.15847804e-10,5.244841e-13,4.1927625e-12
1610612766,-2.0497477e-09,5.5707383e-12,9.8854505e-14,5.6562994e-11,-9.613454e-13,2.0627763e-11,3.811507e-12,-2.0291335e-09,2.6456096e-12,1.5984745e-11
